round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
17,0.365705148617426,0.8286667,0.523616182470655,0.7986014,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,64
16,0.366679423440105,0.8271111,0.49707325883514,0.7972028,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,1,100,4
17,0.363573372206573,0.829,0.514317724925069,0.7965035,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,300,4
16,0.363972671946601,0.82944447,0.514687498275458,0.7965035,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,4
16,0.370803601351049,0.8272222,0.498787881267238,0.7958042,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,4
16,0.36408326895491,0.83055556,0.502819679734799,0.7958042,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,4
18,0.363399901913531,0.829,0.495976157944936,0.7958042,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,300,4
16,0.375022421068615,0.82533336,0.498074078851646,0.7958042,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,3,100,64
19,0.370700128147585,0.8271111,0.492746956563079,0.7958042,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,4
16,0.375414342204109,0.8277778,0.49598238079229,0.7958042,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,4
16,0.365869939671622,0.8293333,0.513375965073392,0.7958042,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,100,64
16,0.36021281698015,0.8321111,0.497335818639168,0.7958042,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,3,300,64
16,0.35842480811209,0.83088887,0.500788271634911,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,None,categorical_crossentropy,3,100,4
16,0.368842302266094,0.83044446,0.506341167041784,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,4
16,0.382175866730097,0.8242222,0.490040228739902,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,4
16,0.364102157606068,0.83033335,0.514851002838671,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,300,4
16,0.366732384990642,0.82755554,0.503244203979384,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,None,categorical_crossentropy,1,100,4
16,0.371150222586752,0.82555556,0.50471665317362,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,3,100,4
16,0.364178453476977,0.83022225,0.505709822947988,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,None,categorical_crossentropy,1,300,4
16,0.382190277244068,0.82555556,0.483124657923525,0.7951049,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,4
16,0.366257330801752,0.8282222,0.501321403296677,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,1,100,64
16,0.363863547584883,0.829,0.496111728139938,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,1,300,4
16,0.403256105502446,0.82655555,0.538386372336141,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,64
16,0.364494236419684,0.82944447,0.504342868814727,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,4
16,0.366303559230502,0.8278889,0.504839478816082,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,100,4
16,0.377295178720521,0.8252222,0.49357584727394,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,100,4
18,0.375846112277773,0.8258889,0.501484440673481,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,64
16,0.366213532606761,0.82644445,0.503076767421269,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,1,100,64
16,0.36503406142653,0.8285556,0.493854530651279,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,4
16,0.376049320936203,0.82611114,0.489208580626474,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,64
16,0.362980377665592,0.8297778,0.502024845829904,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,300,4
16,0.364350939512253,0.8288889,0.508565353263508,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,1,300,64
16,0.356678593952325,0.832,0.490701398901133,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,3,300,4
26,0.359158383660846,0.83111113,0.505617891658436,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,3,100,64
16,0.387565421210395,0.8247778,0.498519775750754,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,64
16,0.363606974434479,0.8291111,0.492194603709667,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,1,100,4
16,0.36363891876983,0.8284444,0.505805526581313,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,1,300,4
16,0.366778434824335,0.8284444,0.504457138999776,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,4
16,0.361207758780343,0.8291111,0.508677744163343,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,3,300,4
16,0.383120899518331,0.8272222,0.525765511289343,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,64
16,0.36630483727985,0.8283333,0.505196614198751,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,64
16,0.378383140590456,0.8278889,0.51457362925256,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,64
16,0.376400268946257,0.8277778,0.518170642988248,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,4
16,0.363260226086695,0.8298889,0.502319794596284,0.7944056,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,100,4
16,0.374452143964668,0.8292222,0.509083522512363,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,4
16,0.363719623141819,0.82944447,0.504108283736489,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,64
16,0.393835154189004,0.82766664,0.537652176910347,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,64
16,0.391819554267244,0.82244444,0.490815594021257,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,4
16,0.374320267862744,0.82688886,0.502580451131701,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,64
16,0.375785372204251,0.8251111,0.486740385235606,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,100,64
17,0.371146144125197,0.826,0.496529932789036,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,64
16,0.365793856292342,0.8283333,0.516321393874554,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,4
16,0.377939338979001,0.82566667,0.495383308622074,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,4
16,0.378601614899105,0.829,0.51834920002864,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,64
17,0.392064903604488,0.8234444,0.511323869791064,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,300,4
16,0.365607817202832,0.82755554,0.504126171705189,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,1,300,4
16,0.367839397086037,0.8286667,0.521957989547636,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,None,categorical_crossentropy,1,100,64
16,0.374874992347219,0.8247778,0.496761576352003,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,4
16,0.361801259017654,0.83033335,0.498502851751718,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,4
16,0.365702074947146,0.8285556,0.503900488393407,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,4
16,0.394068883033262,0.8208889,0.491174468111533,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,100,4
16,0.363864568259981,0.829,0.505463240696834,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,None,categorical_crossentropy,1,300,64
16,0.387400571214656,0.827,0.52441017626674,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,4
18,0.366871412065294,0.8278889,0.526577146986981,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,1,100,64
16,0.3830036333402,0.8238889,0.496592314051582,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,64
16,0.374427854293957,0.827,0.51081756173887,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cb2c35198>,categorical_crossentropy,3,100,4
16,0.364322546310519,0.8282222,0.515918326341397,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,None,categorical_crossentropy,1,300,4
16,0.37412039846037,0.8248889,0.496035879511725,0.7937063,0.1,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,100,4
16,0.366892577595181,0.8278889,0.503756636714602,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0.2,None,categorical_crossentropy,3,100,64
16,0.378244500478109,0.8251111,0.492772893138699,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adagrad'>,<function relu at 0x7f9ce3c6bbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f9cc5caff98>,categorical_crossentropy,3,300,64
